customerID,Churn,PhoneService,MultipleLines,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Months_Paid,Cuentas_Diarias
0042-RLHYP,No,Yes,No,Female,0,Yes,Yes,69,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,70.90862943802495,2127.2588831407484
0048-LUMLS,No,Yes,No,Male,0,Yes,Yes,37,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,35.60910087680253,1068.2730263040758
0048-PIHNL,No,Yes,No,Female,0,Yes,No,49,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,44.05378972889712,1321.6136918669138
0052-DCKON,No,Yes,Yes,Male,0,Yes,No,66,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,68.58506044845781,2057.551813453734
0052-YNYOT,No,Yes,No,Female,0,No,No,67,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,65.3722627705415,1961.1678831162449
0056-EPFBG,No,No,No phone service,Male,0,Yes,Yes,20,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4,825.4,20.9492385781485,628.477157344455
0057-QBUQH,No,Yes,Yes,Female,0,No,Yes,43,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,42.63545816563205,1279.0637449689616
0058-EVZWM,No,Yes,Yes,Female,0,Yes,No,55,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,55.22939866308208,1656.8819598924624
0060-FUALY,No,Yes,Yes,Female,0,Yes,No,59,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.75,5597.65,59.07810026322872,1772.3430078968615
0064-SUDOG,No,Yes,No,Female,0,Yes,Yes,12,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,11.059113299947827,331.7733989984348
0064-YIJGF,No,Yes,Yes,Male,0,Yes,Yes,27,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,25.465346534317288,763.9603960295186
0067-DKWBL,Yes,Yes,No,Male,1,No,No,2,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,1.8497461928558427,55.49238578567528
0068-FIGTF,No,Yes,No,Female,0,No,No,27,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2,2078.95,26.585038362831387,797.5511508849416
0071-NDAFP,No,Yes,Yes,Male,0,Yes,Yes,25,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.5,630.6,24.729411763736103,741.8823529120831
0074-HDKDG,No,Yes,No,Male,0,Yes,Yes,25,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,26.152597402172848,784.5779220651855
0076-LVEPS,No,No,No phone service,Male,0,No,Yes,29,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,45.0,1242.45,27.60999999938645,828.2999999815935
0078-XZMHT,No,Yes,Yes,Male,0,Yes,No,72,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,74.17733411539426,2225.320023461828
0080-EMYVY,No,Yes,No,Female,0,No,No,14,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,14.146744411775574,424.4023323532672
0080-OROZO,No,Yes,No,Female,0,No,No,35,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,35.58690176286562,1067.6070528859686
0082-LDZUE,No,Yes,No,Male,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.3,44.3,0.9999999999774267,29.999999999322803
0082-OQIQY,No,Yes,No,Male,0,No,No,29,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,2607.6,27.68152866212652,830.4458598637956
0083-PIVIK,No,Yes,Yes,Male,0,No,No,64,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,5567.55,68.52369230684894,2055.7107692054683
0089-IIQKO,No,Yes,Yes,Female,0,Yes,Yes,39,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,37.692846422834485,1130.7853926850346
0093-EXYQL,No,Yes,No,Female,1,No,No,40,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,40.12670671720233,1203.80120151607
0093-XWZFY,Yes,Yes,Yes,Male,0,No,No,40,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,38.63014354030019,1158.9043062090057
0094-OIFMO,Yes,Yes,No,Female,1,No,No,11,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,11.792631578823235,353.77894736469705
0096-BXERS,No,Yes,Yes,Female,0,Yes,No,6,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,6.247269116062617,187.4180734818785
0096-FCPUF,No,Yes,Yes,Male,0,No,No,30,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5,1888.45,29.278294573189484,878.3488371956845
0098-BOWSO,No,Yes,No,Male,0,No,No,27,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.4,529.8,27.309278349107768,819.278350473233
0100-DUVFC,No,Yes,Yes,Male,1,Yes,No,70,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8,7308.95,69.74188931231163,2092.2566793693486
0103-CSITQ,No,Yes,Yes,Female,0,Yes,No,57,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,57.15447897571156,1714.634369271347
0104-PPXDV,No,Yes,No,Male,0,Yes,No,58,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,57.2276341936933,1716.8290258107988
0106-GHRQR,No,Yes,Yes,Male,0,No,No,16,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,16.976190475952713,509.2857142785814
0106-UGRDO,No,Yes,Yes,Female,0,Yes,No,69,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0,8182.85,70.54181034421947,2116.2543103265843
0107-WESLM,Yes,Yes,No,Male,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.85,19.85,0.9999999999496222,29.999999998488665
0107-YHINA,Yes,Yes,Yes,Male,0,No,Yes,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,0.9999999999899749,29.99999999969925
0111-KLBQG,No,Yes,No,Male,1,Yes,Yes,32,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45,30.457158062475173,913.7147418742552
0112-QAWRZ,No,Yes,Yes,Male,0,Yes,Yes,16,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,15.883259911719348,476.49779735158046
0112-QWPNC,Yes,Yes,Yes,Male,0,Yes,No,49,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,4059.35,48.12507409545791,1443.7522228637374
0114-IGABW,No,No,No phone service,Female,0,Yes,No,71,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,71.17424892581676,2135.2274677745027
0114-PEGZZ,No,Yes,Yes,Female,0,No,No,33,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.55,3645.5,33.89586238927107,1016.8758716781322
0114-RSRRW,No,Yes,No,Female,0,Yes,No,10,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,9.411027568450576,282.3308270535173
0115-TFERT,Yes,Yes,Yes,Male,0,Yes,No,21,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,20.837230215639952,625.1169064691985
0117-LFRMW,Yes,No,No phone service,Male,0,Yes,Yes,37,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,36.03980099412836,1081.194029823851
0118-JPNOY,No,Yes,No,Female,1,No,No,26,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,25.567016316718334,767.0104895015501
0121-SNYRK,No,No,No phone service,Male,0,No,No,50,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,35.4,1748.9,49.403954800864305,1482.1186440259291
0122-OAHPZ,Yes,Yes,Yes,Female,0,No,No,7,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,6.922816519879177,207.6844955963753
0123-CRBRT,No,Yes,Yes,Female,0,Yes,Yes,61,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,5526.75,62.73269012414605,1881.9807037243816
0125-LZQXK,Yes,Yes,No,Male,0,No,No,15,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1553.95,15.33251109999672,459.97533299990164
0128-MKWSG,No,No,No phone service,Female,0,No,Yes,26,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,45.8,1147.0,25.04366812172394,751.3100436517182
0129-KPTWJ,No,Yes,No,Male,0,Yes,No,72,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,6747.35,71.28737453701757,2138.621236110527
0129-QMPDR,No,Yes,No,Male,0,Yes,Yes,44,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.5,865.05,42.19756097355133,1265.9268292065399
0130-SXOUN,No,Yes,Yes,Male,0,No,No,66,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,5976.9,66.85570469723874,2005.6711409171621
0133-BMFZO,Yes,Yes,No,Female,0,No,No,2,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.25,181.65,2.106086956497321,63.18260869491962
0134-XWXCE,No,Yes,No,Female,1,No,No,44,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,43.66132264470727,1309.839679341218
0135-NMXAP,Yes,Yes,Yes,Female,0,No,No,12,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,11.72590529234846,351.77715877045375
0136-IFMYD,No,Yes,Yes,Male,1,Yes,No,69,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95,7634.25,69.4338335600779,2083.015006802337
0137-OCGAB,Yes,Yes,Yes,Female,0,No,No,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.2,80.2,0.9999999999875311,29.99999999962593
0137-UDEUO,Yes,Yes,No,Female,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,63.75,3.2115869016014313,96.34760704804295
0139-IVFJG,No,Yes,No,Female,0,Yes,No,2,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,2.108467072472513,63.25401217417539
0141-YEAYS,No,Yes,Yes,Female,1,No,No,27,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,27.77385772090487,833.2157316271462
0142-GVYSN,No,Yes,No,Male,0,No,No,26,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.3,511.25,25.18472906279878,755.5418718839634
0147-ESWWR,No,Yes,Yes,Female,1,Yes,No,39,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,3949.15,39.00395061689873,1170.118518506962
0148-DCDOS,Yes,Yes,Yes,Male,0,No,No,25,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,24.942977824446217,748.2893347333866
0151-ONTOV,Yes,Yes,No,Female,0,No,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,0.9999999999858956,29.99999999957687
0156-FVPTA,Yes,Yes,No,Male,0,Yes,No,22,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.2,1152.7,21.267527674884363,638.0258302465309
0164-APGRB,No,Yes,Yes,Female,0,No,No,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,8496.7,73.94865100022673,2218.459530006802
0164-XAIRP,No,Yes,No,Female,0,No,No,24,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.55,470.2,24.051150893910425,721.5345268173128
0168-XZKBB,No,Yes,Yes,Female,0,Yes,No,19,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,1564.4,18.01266551504879,540.3799654514637
0174-QRVVY,No,Yes,Yes,Male,0,Yes,Yes,71,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.35,1847.55,72.88165680185871,2186.4497040557612
0177-PXBAT,No,Yes,Yes,Male,1,Yes,No,33,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,33.61874431270592,1008.5623293811776
0178-CIIKR,No,Yes,No,Female,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,2.9072681702803376,87.21804510841012
0178-SZBHO,No,Yes,Yes,Male,0,Yes,Yes,47,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.2,4017.45,46.071674311398255,1382.1502293419476
0181-RITDD,No,Yes,No,Male,0,Yes,Yes,62,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,63.112806286979996,1893.3841886093999
0186-CAERR,No,Yes,Yes,Male,0,No,No,71,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.3,8309.55,71.44926913094196,2143.4780739282587
0187-QSXOE,No,Yes,No,Male,1,Yes,No,7,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,605.45,6.802808988687609,204.08426966062825
0187-WZNAB,No,Yes,No,Female,0,Yes,Yes,27,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,74.4,1972.35,26.51008064480497,795.302419344149
0188-GWFLE,No,Yes,No,Male,0,No,No,2,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,33.7,1.680798004903701,50.42394014711103
0191-EQUUH,No,No,No phone service,Female,0,No,Yes,25,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),35.05,844.45,24.09272467834258,722.7817403502775
0191-ZHSKZ,No,Yes,No,Male,1,No,No,30,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,28.24481605313385,847.3444815940155
0193-ESZXP,Yes,Yes,No,Female,1,Yes,No,58,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.5,6205.5,58.819905212712605,1764.5971563813782
0195-IESCP,Yes,Yes,Yes,Male,0,Yes,No,10,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,855.3,10.03284457466237,300.9853372398711
0196-JTUQI,No,Yes,Yes,Female,0,No,No,9,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.2,633.85,8.428856382866638,252.86569148599912
0196-VULGZ,Yes,Yes,Yes,Female,1,Yes,No,6,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.35,474.9,5.630112625896501,168.90337877689504
0197-PNKNK,No,Yes,Yes,Female,0,Yes,Yes,69,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),84.45,5848.6,69.25518057940491,2077.6554173821473
0201-MIBOL,No,Yes,Yes,Female,1,No,No,66,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.4,6471.85,63.201660155632794,1896.0498046689838
0201-OAMXR,Yes,Yes,Yes,Female,0,No,No,70,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.55,8127.6,70.33838165235537,2110.151449570661
0203-HHYIJ,Yes,Yes,Yes,Male,0,No,No,25,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),25.3,676.35,26.73320157997102,801.9960473991306
0206-OYVOC,No,Yes,No,Female,0,Yes,Yes,46,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.25,864.2,44.893506491174364,1346.805194735231
0206-TBWLC,No,Yes,Yes,Female,0,Yes,No,54,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,114.65,6049.5,52.76493676360431,1582.9481029081294
0207-MDKNV,Yes,Yes,No,Female,0,No,No,15,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,15.0594671739766,451.784015219298
0208-BPQEJ,No,Yes,No,Female,0,Yes,Yes,12,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.4,198.1,10.21134020565921,306.3402061697763
0212-ISBBF,No,No,No phone service,Female,0,No,No,22,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.35,1098.85,21.824230386855525,654.7269116056658
0214-JHPFW,No,No,No phone service,Female,0,Yes,No,70,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.8,4039.3,69.88408304377364,2096.5224913132092
0215-BQKGS,No,Yes,No,Male,0,No,No,30,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,28.927639382812245,867.8291814843674
0218-QNVAS,No,Yes,Yes,Male,0,Yes,Yes,71,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),100.55,7113.75,70.74838388790901,2122.4515166372703
0219-QAERP,No,Yes,No,Male,0,Yes,No,30,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,576.65,29.123737372266476,873.7121211679943
0219-YTZUE,Yes,Yes,Yes,Male,0,Yes,Yes,4,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,4.385613207495452,131.56839622486356
0220-EBGCE,Yes,Yes,No,Male,0,No,No,2,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.85,167.3,1.948747815935367,58.46243447806101
0221-NAUXK,No,Yes,No,Male,0,No,Yes,10,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.95,219.5,11.002506265112658,330.0751879533797
0221-WMXNQ,No,Yes,No,Male,1,No,No,4,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,75.35,273.4,3.6284007962358538,108.85202388707562
0222-CNVPT,No,No,No phone service,Male,1,No,No,52,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,52.35758196614022,1570.7274589842068
0224-HJAPT,Yes,Yes,Yes,Male,0,No,No,5,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,223.15,4.732767762359857,141.9830328707957
0224-NIJLP,No,Yes,No,Male,0,Yes,Yes,8,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.15,165.5,8.213399503314472,246.40198509943414
0224-RLWWD,No,Yes,No,Female,1,No,No,2,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.3,89.3,2.0158013543563027,60.47404063068908
0225-ZORZP,No,Yes,No,Male,0,No,No,3,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,84.3,235.05,2.788256227724932,83.64768683174796
0228-MAUWC,No,Yes,Yes,Male,0,No,No,19,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,59.55,1144.6,19.220822837628535,576.6246851288561
0229-LFJAF,No,Yes,Yes,Male,0,No,No,72,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.65,4908.25,70.47020818276424,2114.106245482927
0230-UBYPQ,No,No,No phone service,Male,1,Yes,No,63,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),36.1,2298.9,63.681440441449276,1910.4432132434783
0230-WEQUW,No,No,No phone service,Male,0,Yes,No,66,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),56.6,3789.2,66.94699646524829,2008.4098939574487
